experiment,variables,baseline_ms,unreduced_ms,speedup,threads,source
degree2,14,1.15,0.87,1.31,1,criterion_estimate
degree2,16,5.42,3.98,1.36,1,criterion_estimate
degree2,18,21.0,15.2,1.38,1,criterion_estimate
degree2,20,82.6,59.4,1.39,1,criterion_estimate
degree2,22,331.5,235.2,1.41,1,criterion_estimate
degree2,24,1324,965,1.37,1,criterion_estimate
degree2,26,5316,3819,1.39,1,criterion_estimate
degree2_with_eq,14,2.63,2.49,1.06,1,criterion_estimate
degree2_with_eq,16,9.51,8.57,1.11,1,criterion_estimate
degree2_with_eq,18,35.0,32.2,1.09,1,criterion_estimate
degree2_with_eq,20,136.4,124.3,1.10,1,criterion_estimate
degree2_with_eq,22,538.9,494.9,1.09,1,criterion_estimate
