d,v,baseline_us,optimized_us,speedup,threads,source
2,12,98,88,1.12,1,criterion_mean
2,14,226,121,1.87,1,criterion_mean
2,16,509,246,2.07,1,criterion_mean
2,18,1561,709,2.20,1,criterion_mean
2,20,6521,2235,2.92,1,criterion_mean
4,12,170,145,1.17,1,criterion_mean
4,14,367,238,1.54,1,criterion_mean
4,16,1235,606,2.04,1,criterion_mean
4,18,3628,1882,1.93,1,criterion_mean
4,20,14568,7038,2.07,1,criterion_mean
8,12,446,351,1.27,1,criterion_mean
8,14,1012,641,1.58,1,criterion_mean
8,16,2997,1640,1.83,1,criterion_mean
8,18,10324,5329,1.94,1,criterion_mean
8,20,42677,21262,2.01,1,criterion_mean
16,12,1263,949,1.33,1,criterion_mean
16,14,3179,1903,1.67,1,criterion_mean
16,16,10786,5648,1.91,1,criterion_mean
16,18,38747,19214,2.02,1,criterion_mean
16,20,155200,76196,2.04,1,criterion_mean
32,12,4511,3054,1.48,1,criterion_mean
32,14,11651,6026,1.93,1,criterion_mean
32,16,39618,17120,2.31,1,criterion_mean
32,18,144980,58397,2.48,1,criterion_mean
32,20,585530,237080,2.47,1,criterion_mean
