sha2_iterations,baseline_ms,split_eq_ms,delayed_reduction_ms,round_batched_ms,univariate_skip_ms,evaluation_basis_streaming_ms,cross_product_streaming_ms,threads,source
8,32.1,25.9,20.7,7.1,6.6,10.7,13.9,12,criterion_midpoint
16,53.2,35.4,32.4,12.7,11.2,18.8,21.1,12,criterion_midpoint
32,95.3,61.9,58.6,17.7,16.3,32.1,39.1,12,criterion_midpoint
64,168.4,107.1,98.9,26.5,25.5,59.4,62.5,12,criterion_midpoint
128,306.9,208.4,186.0,45.4,40.1,96.4,103.8,12,criterion_midpoint
256,625.6,483.5,369.6,86.8,78.1,181.2,213.8,12,criterion_midpoint
512,1262.0,925.1,815.3,171.7,151.4,381.9,418.8,12,criterion_midpoint
1024,2679.7,2129.2,1954.4,330.6,273.6,718.3,784.7,12,criterion_midpoint
2048,5929.3,4538.9,4068.1,677.0,545.7,1261.9,1411.4,12,criterion_midpoint
4096,22814.6,12980.0,11552.3,1311.3,1064.1,2871.0,3165.7,12,criterion_midpoint
8192,121432.5,40305.6,39566.8,2645.9,2098.7,5647.1,6121.9,12,criterion_midpoint
